"Date" "Density" "Temp" "Time.Nodes"
"2006-05-23" "9801" "10.73" "52.5041095890411"
"2006-06-06" "624012" "11.61" "52.9643835616438"
"2006-06-12" "49006" "13.69" "53.1616438356164"
"2006-07-03" "13068" "14.95" "53.8520547945205"
"2006-08-07" "104546" "15.6" "55.0027397260274"
"2006-08-14" "712223" "15.04" "55.2328767123288"
"2006-08-29" "75143" "15.91" "55.7260273972603"
"2006-09-04" "101279" "15.57" "55.9232876712329"
"2006-09-12" "19602" "16.92" "56.186301369863"
"2006-09-25" "13068" "16.07" "56.613698630137"
"2006-10-03" "6534" "15.99" "56.8767123287671"
"2006-10-30" "81677" "15" "57.7643835616438"
"2006-11-06" "114348" "14.4" "57.9945205479452"
"2006-12-18" "6534" "12.11" "59.3753424657534"
"2007-01-22" "3267" "11.3" "60.5260273972603"
"2007-01-29" "9801" "10.31" "60.7561643835616"
"2007-02-05" "13068" "10.51" "60.986301369863"
"2007-03-20" "16335" "10.27" "62.4"
"2007-03-26" "26137" "10.24" "62.5972602739726"
"2007-04-10" "14520" "10.68" "63.0904109589041"
"2007-04-16" "19602" "11.44" "63.2876712328767"
"2007-04-23" "35938" "10.95" "63.5178082191781"
"2007-04-30" "22870" "12.03" "63.7479452054795"
"2007-05-08" "16335" "12.42" "64.0109589041096"
"2007-05-21" "9801" "12.23" "64.4383561643836"
"2007-06-11" "9801" "14.67" "65.1287671232877"
"2007-07-09" "3267" "14.49" "66.0493150684932"
"2007-07-23" "3267" "15.32" "66.5095890410959"
"2007-07-30" "26137" "15.49" "66.7397260273973"
"2007-08-06" "202559" "14.99" "66.9698630136986"
"2007-08-13" "202559" "16" "67.2"
"2007-08-20" "52273" "15.4" "67.4301369863014"
"2007-09-03" "26137" "16.38" "67.8904109589041"
"2007-09-10" "55540" "17.02" "68.1205479452055"
"2007-09-17" "35938" "16.88" "68.3506849315068"
"2007-10-02" "32671" "15.83" "68.8438356164384"
"2007-10-08" "52273" "15.81" "69.041095890411"
"2007-10-25" "42472" "15.38" "69.6"
"2007-10-30" "52273" "14.97" "69.7643835616438"
"2007-11-12" "45739" "14.68" "70.1917808219178"
"2007-11-22" "6534" "13.88" "70.5205479452055"
"2007-11-26" "9801" "13.54" "70.6520547945206"
"2007-12-11" "6534" "12.47" "71.1452054794521"
"2008-02-20" "13068" "9.67" "73.4794520547945"
"2008-02-27" "16335" "9.66" "73.7095890410959"
"2008-03-05" "16335" "9.47" "73.9397260273973"
"2008-03-17" "3267" "9.45" "74.3342465753425"
"2008-04-07" "6534" "9.52" "75.0246575342466"
"2008-04-14" "26137" "9.72" "75.2547945205479"
"2008-04-21" "127416" "9.71" "75.4849315068493"
"2008-04-28" "597875" "10.68" "75.7150684931507"
"2008-05-19" "9801" "12.08" "76.4054794520548"
"2008-05-28" "3267" "12.51" "76.7013698630137"
"2008-06-02" "9801" "13.27" "76.8657534246575"
"2008-06-09" "6534" "13.1" "77.0958904109589"
"2008-06-16" "3267" "13.82" "77.3260273972603"
"2008-06-23" "9801" "14.09" "77.5561643835617"
"2008-07-14" "3267" "14.81" "78.2465753424658"
"2008-07-28" "6534" "17.52" "78.7068493150685"
"2008-08-20" "29404" "15.33" "79.4630136986301"
"2008-08-26" "26137" "15.53" "79.6602739726027"
"2008-09-02" "16335" "16.1" "79.8904109589041"
"2008-09-15" "13068" "15.44" "80.3178082191781"
"2008-09-22" "117615" "15.17" "80.5479452054795"
"2008-10-06" "65342" "14.75" "81.0082191780822"
"2008-10-13" "120882" "14.93" "81.2383561643836"
"2008-10-21" "3267" "14.33" "81.5013698630137"
"2008-12-08" "6534" "11.22" "83.0794520547945"
"2009-01-05" "3267" "9.75" "84"
"2009-01-13" "3267" "9.01" "84.2630136986301"
"2009-01-21" "9801" "8.53" "84.5260273972603"
"2009-02-11" "6534" "8.22" "85.2164383561644"
"2009-02-23" "6534" "8.4" "85.6109589041096"
"2009-03-09" "13068" "8.54" "86.0712328767123"
"2009-03-23" "9801" "9.19" "86.5315068493151"
"2009-03-30" "6534" "9.18" "86.7616438356164"
"2009-04-14" "32671" "10.04" "87.2547945205479"
"2009-04-21" "26137" "10.88" "87.4849315068493"
"2009-06-02" "29404" "13.25" "88.8657534246575"
"2009-06-15" "19602" "14.64" "89.2931506849315"
"2009-06-22" "39205" "15.3" "89.5232876712329"
"2009-06-29" "49006" "15.91" "89.7534246575343"
"2009-07-07" "940918" "15.89" "90.0164383561644"
"2009-07-13" "29404" "14.82" "90.213698630137"
"2009-07-20" "9801" "14.65" "90.4438356164384"
"2009-09-01" "19602" "15.55" "91.8575342465753"
"2009-09-07" "9801" "15.33" "92.0547945205479"
"2009-09-14" "127416" "14.96" "92.2849315068493"
"2009-09-22" "104546" "15.19" "92.5479452054795"
"2009-10-07" "362646" "15.64" "93.041095890411"
"2009-10-12" "1238222" "15.69" "93.2054794520548"
"2009-10-19" "463925" "15.45" "93.4356164383562"
"2009-10-26" "32671" "15" "93.6657534246575"
"2009-12-15" "6534" "11.11" "95.3095890410959"
"2009-12-21" "6534" "10.41" "95.5068493150685"
